Neighbourhood_Name,Neighbourhood_Number,CMHC_Zone,rent_2019,rent_2020,rent_2021,rent_2022,rent_2023,rent_2024,City_Zone,Center_Location,Crime_Occurances,Crime_Rate,Walk_Score,Transit_Score,Bike_Score,Population,rent_2025,Distance to U of A (km),Distance to MacEwan (km),Distance to NAIT (km),Distance to Concordia (km),Distance to NorQuest (km),New_Residential_Units_2023,Num_Current_Listings,Supportive_Housing_Count,Supportive_Units,Shelters_Count,
Forest Heights,6230,8,1099,1091,1090,1124,1129,1307,19,"(53.5445370725994, -113.45125000590636)",213,0.06,43,42,53,3678,1716,5.499702924,3.742698788,4.268942307,1.77792029,3.647915638,55,18,0,0,0,
Fulton Place,6240,8,1099,1091,1090,1124,1129,1307,19,"(53.54629463703151, -113.42746647274248)",87,0.04,51,47,39,2285,1577,7.027381831,5.30793346,5.498894027,1.958885796,5.230024597,1,9,0,0,0,
Gold Bar,6270,8,1099,1091,1090,1124,1129,1307,19,"(53.548908011823386, -113.41200386812996)",77,0.03,40,44,32,2304,1719,8.088900424,6.334260161,6.32576937,2.55858689,6.272252386,2,7,0,0,0,
Capilano,6061,8,1099,1091,1090,1124,1129,1307,19,"(53.55467208922095, -113.42279236815314)",68,0.03,33,39,30,2712,1339,7.689561669,5.676380025,5.445494395,1.634443666,5.658437712,5,1,0,0,0,
Sweet Grass,5490,8,1099,1091,1090,1124,1129,1307,16,"(53.464315902695475, -113.52756884433359)",71,0.03,38,56,35,2717,1557,6.589708659,9.326634279,11.71229935,11.97128055,8.984576427,0,6,0,0,0,
Mill Creek Ravine North,6491,8,1099,1091,1090,1124,1129,1307,15,"(53.52685779269116, -113.47792345887649)",25,0.05,48,57,24,519,1350,3.230973045,3.001385605,4.885344767,4.279174803,2.681332321,0,0,0,0,0,
Edmonton South East,8886,9,1251,1268,1272,1332,1430,1594,33,"(53.38130266678533, -113.37682343753188)",0,0.00,39,44,51,188,1392,18.68586737,20.40838482,22.41361294,20.42436908,20.04875887,0,0,0,0,0,
The Orchards At Ellerslie,6216,9,1251,1268,1272,1332,1430,1594,53,"(53.403087349122, -113.45816601336082)",144,0.17,4,28,12,842,1450,14.14724932,16.37703109,18.62516054,17.50135028,16.00908979,527,0,0,0,0,
Decoteau,6663,9,1251,1268,1272,1332,1430,1594,53,"(53.410338845277394, -113.36908560883388)",88,0.47,16,34,22,186,1400,16.36174517,17.79603405,19.67108115,17.43235015,17.44657786,0,0,0,0,0,
Summerside,6213,9,1251,1268,1272,1332,1430,1594,53,"(53.4175276127026, -113.46122737605207)",343,0.06,31,35,39,5766,1702,12.56342467,14.76214832,17.00596908,15.90811721,14.39413994,2,11,0,0,0,
Walker,6662,9,1251,1268,1272,1332,1430,1594,53,"(53.41765060558255, -113.43043517232874)",309,0.35,22,34,37,887,1798,13.39306617,15.30590238,17.43243605,15.89306232,14.94027757,25,22,0,0,0,
Charlesworth,6661,9,1251,1268,1272,1332,1430,1594,53,"(53.42854379358836, -113.41813010932303)",373,0.14,26,35,31,2682,1799,12.78022636,14.48392103,16.52440959,14.76208979,14.12301948,94,25,0,0,0,
Ellerslie,6211,9,1251,1268,1272,1332,1430,1594,53,"(53.42854540916191, -113.45773137925912)",141,0.03,38,35,39,5478,1495,11.509501,13.61956641,15.83730809,14.67020314,13.25156029,0,21,0,0,0,
Crawford Plains,6140,9,1251,1268,1272,1332,1430,1594,29,"(53.44183745503461, -113.40621587793581)",162,0.05,31,38,39,3465,1700,12.09197468,13.52307269,15.44541933,13.42670224,13.17117253,2,2,0,0,0,
Sakaw,6670,9,1251,1268,1272,1332,1430,1594,29,"(53.44197993208675, -113.42882827241682)",164,0.05,28,45,40,3638,1795,11.14645103,12.82859264,14.87822284,13.20053176,12.46750553,0,1,0,0,0,
Menisa,6450,9,1251,1268,1272,1332,1430,1594,29,"(53.442056300744994, -113.44737900912975)",131,0.05,25,39,33,2500,1300,10.47211227,12.37047776,14.5169015,13.14514265,12.00435868,0,1,0,0,0,
Laurel,6444,9,1251,1268,1272,1332,1430,1594,30,"(53.44579889016164, -113.38147041428071)",299,0.02,40,42,46,12100,1685,12.93367523,14.05337109,15.80569625,13.42202573,13.71672606,241,10,0,0,0,
Satoo,6680,9,1251,1268,1272,1332,1430,1594,29,"(53.44637282792394, -113.45889160751477)",104,0.03,22,45,32,3412,1638,9.682790244,11.68299536,13.87585069,12.69460694,11.31545504,0,2,0,0,0,
Quarry Ridge,2692,11,,,,,,,,"(53.62249178672573, -113.33961645236101)",,,,,,,,16.56213938,13.91992341,12.30214633,9.871023694,14.07367382,13,0,0,0,0,
