Neighbourhood_Name,Neighbourhood_Number,CMHC_Zone,rent_2019,rent_2020,rent_2021,rent_2022,rent_2023,rent_2024,City_Zone,Center_Location,Crime_Occurances,Crime_Rate,Walk_Score,Transit_Score,Bike_Score,Population,rent_2025,Distance to U of A (km),Distance to MacEwan (km),Distance to NAIT (km),Distance to Concordia (km),Distance to NorQuest (km),New_Residential_Units_2023,Num_Current_Listings,Supportive_Housing_Count,Supportive_Units,Shelters_Count,
Calgary Trail South,5120,,,,,,,,41,"(53.471191224972046, -113.49353163439852)",355,,36,48,40,0,,6.217173052,8.516912962,10.83382248,10.39865723,8.151534158,0,0,0,0,0,
Beacon Heights,2040,11,1192,1180,1194,1230,1317,1404,23,"(53.57353937729379, -113.40604010217766)",205,0.07,57,46,44,3055,1300,9.723725359,7.333445183,6.360627274,3.01828763,7.40939065,14,3,1,6,0,
River Valley Cameron,4467,,,,,,,,,"(53.47235679364354, -113.61607674144759)",3,,2,23,34,0,,8.240467475,11.01633577,13.1101867,14.94241795,10.80360929,0,0,0,0,0,
Abbottsfield,2010,11,1192,1180,1194,1230,1317,1404,23,"(53.57414343327946, -113.38875800528291)",162,0.13,49,46,36,1220,1445,10.71820769,8.419650849,7.50698141,4.078991607,8.47758812,0,3,0,0,0,
Bergman,2090,11,1192,1180,1194,1230,1317,1404,23,"(53.57956358670845, -113.40966725276705)",60,0.03,31,46,23,1908,1300,9.933843536,7.414179289,6.219339911,3.217317774,7.523985694,4,0,0,0,0,
Homesteader,2350,11,1192,1180,1194,1230,1317,1404,35,"(53.584720420012744, -113.40645880030745)",217,0.07,45,48,31,3084,1599,10.46404559,7.888162172,6.562395606,3.77060928,8.014989388,0,5,0,0,0,
Kernohan,2390,11,1192,1180,1194,1230,1317,1404,35,"(53.589399782126065, -113.3801643112191)",146,0.06,37,38,40,2539,1568,12.14803389,9.653832818,8.379820836,5.423726419,9.762162547,2,2,0,0,0,
Belmont,2070,11,1192,1180,1194,1230,1317,1404,35,"(53.59312408343794, -113.39437923875707)",202,0.04,45,45,28,5415,1479,11.68148286,9.068902024,7.619530248,5.000030388,9.208740762,0,2,0,0,0,
Sifton Park,2710,11,1192,1180,1194,1230,1317,1404,35,"(53.59452510263165, -113.40840160415829)",113,0.05,58,54,32,2228,1514,11.11348199,8.414020182,6.82653354,4.551939416,8.580020849,0,2,0,0,0,
Clareview Town Centre,2145,11,1192,1180,1194,1230,1317,1404,35,"(53.60194780693877, -113.40689125219888)",2100,0.93,56,57,21,2260,1565,11.78186272,9.026970226,7.302382026,5.312671432,9.213216072,11,13,0,0,0,
York,2720,11,1192,1180,1194,1230,1317,1404,2,"(53.60284342250439, -113.4302123105938)",190,0.05,63,54,34,3934,1445,10.88543502,8.031107601,6.089014956,4.859364998,8.259686566,0,6,0,0,0,
Hairsine,2320,11,1192,1180,1194,1230,1317,1404,35,"(53.603837718331235, -113.39092316162758)",90,0.03,45,43,66,2620,1254,12.66452374,9.965439089,8.326457088,6.064283993,10.13329161,0,6,0,0,0,
Bannerman,2030,11,1192,1180,1194,1230,1317,1404,35,"(53.60394967918678, -113.37862372103365)",175,0.06,38,37,36,2872,1479,13.2627034,10.61679836,9.057523819,6.592990754,10.7686921,0,7,0,0,0,
McLeod,2530,11,1192,1180,1194,1230,1317,1404,2,"(53.61035321319482, -113.43667134683787)",77,0.03,33,46,27,2566,1447,11.34351869,8.446015871,6.349169148,5.617829416,8.70225078,0,1,0,0,0,
Fraser,2280,11,1192,1180,1194,1230,1317,1404,35,"(53.611113791940525, -113.37366969834983)",155,0.05,20,35,30,2960,1775,14.04724699,11.36275359,9.717192136,7.408956867,11.52729429,155,19,0,0,0,
Whitemud Creek Ravine North,5550,,,,,,,,,"(53.48679813435263, -113.556604326397)",5,,16,33,26,0,"1,307.00",4.554316085,7.475284709,9.786838781,10.99103575,7.192462728,0,0,0,0,0,
Casselman,2130,11,1192,1180,1194,1230,1317,1404,2,"(53.61134852932065, -113.42413210059294)",146,0.04,37,47,27,3309,1495,11.89061956,9.021533965,7.013884166,5.872732442,9.258742128,0,5,0,0,0,
Kirkness,2430,11,1192,1180,1194,1230,1317,1404,35,"(53.611416204824735, -113.38839885136557)",157,0.02,35,41,30,7170,1500,13.38638593,10.64160714,8.897318483,6.850175266,10.82566343,9,6,0,0,0,
McIntyre Industrial,6430,,,,,,,,41,"(53.490341069742456, -113.454914297171)",98,,36,48,40,0,,6.006700415,7.232481568,9.225593693,7.794955874,6.879104851,0,0,0,0,0,
Ebbers,2251,11,1192,1180,1194,1230,1317,1404,2,"(53.611424777633275, -113.40102959757573)",53,0.07,45,54,32,724,2474,12.8304662,10.03768391,8.20515392,6.425776762,10.23937911,0,3,0,0,0,
Miller,2541,11,1192,1180,1194,1230,1317,1404,2,"(53.61154400692141, -113.41110627437439)",187,0.06,32,47,29,3263,1480,12.41944785,9.590323414,7.681387557,6.159712057,9.807329538,0,2,0,0,0,
Rural North East South Sturgeon,2690,11,1192,1180,1194,1230,1317,1404,51,"(53.61898141939035, -113.31614073170843)",35,0.03,2,16,4,1285,2798,17.51435843,14.9793756,13.51200159,10.78998167,15.10463973,1,0,0,0,0,
Brintnell,2110,11,1192,1180,1194,1230,1317,1404,3,"(53.621394396676344, -113.40711431891364)",115,0.02,29,35,30,5066,1595,13.45431763,10.59720016,8.600134468,7.277474047,10.8283386,0,2,0,0,0,
Hollick-Kenyon,2340,11,1192,1180,1194,1230,1317,1404,3,"(53.62224418234196, -113.4222878615544)",163,0.03,39,35,39,5026,1570,12.97004811,10.07543043,7.969732632,7.080897358,10.32958147,0,13,0,0,0,
Matt Berry,2500,11,1192,1180,1194,1230,1317,1404,3,"(53.62225395930331, -113.43602152876804)",67,0.02,31,37,47,4144,1699,12.51135889,9.596404095,7.402610592,6.940129994,9.870559368,0,2,0,0,0,
Rosedale Industrial,6650,,,,,,,,41,"(53.498545169674685, -113.47882872215995)",60,,36,48,40,0,,4.201474369,5.746161991,7.922072514,7.201660846,5.380480145,0,11,0,0,0,
Evergreen,2270,11,1192,1180,1194,1230,1317,1404,51,"(53.632240591468204, -113.35048376128464)",60,0.06,9,20,24,997,1300,16.79478087,14.0569654,12.27338717,10.20149595,14.24075448,0,0,0,0,0,
River Valley Fort Edmonton,5401,,,,,,,,,"(53.50091068693929, -113.58103079402326)",1,,,,,0,,4.416571503,7.09754355,9.172427078,11.13809187,6.900958561,0,0,0,0,0,
Coronet Addition Industrial,6090,,,,,,,,41,"(53.502728562228555, -113.45165308361577)",61,,36,48,40,0,,5.467079381,6.188268402,8.02732465,6.404433434,5.853290523,0,0,0,0,0,
River Valley Lessard North,4440,,,,,,,,,"(53.50419531565392, -113.58482693866749)",2,,21,38,29,0,,4.437380552,7.0180658,9.026868489,11.13306664,6.841453455,0,0,0,0,0,
River Valley Whitemud,5400,,,,,,,,,"(53.50515157926489, -113.55046983011724)",10,,,,,0,,2.597343648,5.483994563,7.748724511,9.261534572,5.227110322,0,0,0,0,0,
Cy Becker,2611,11,1192,1180,1194,1230,1317,1404,3,"(53.63236275901925, -113.40692407461462)",58,0.03,24,39,24,1900,1725,14.46677399,11.57980613,9.486681861,8.435258451,11.82868732,172,1,0,0,0,
McConachie,2522,11,1192,1180,1194,1230,1317,1404,3,"(53.636453048288004, -113.43131250554053)",252,0.03,30,42,32,8100,1657,14.05629213,11.13604948,8.89022519,8.544028661,11.4206239,312,23,0,0,0,
Marquis,2671,11,1192,1180,1194,1230,1317,1404,51,"(53.65058566615271, -113.32596417109045)",13,0.19,6,18,14,70,3085,19.39170837,16.63528417,14.79469342,12.80890397,16.82652456,92,0,0,0,0,
Edmonton Energy And Technology Park,2681,11,1192,1180,1194,1230,1317,1404,50,"(53.67823189399229, -113.3800601957547)",34,0.07,4,17,9,461,1351,19.75462879,16.84197461,14.6332934,13.83951398,17.11278899,0,0,0,0,0,
Rural North East Horse Hill,2670,11,1192,1180,1194,1230,1317,1404,,"(53.67836434132921, -113.31251307885341)",106,0.20,25,28,33,520,1633,22.30119328,19.48056845,17.50400593,15.83378949,19.69681088,0,0,0,0,0,
River Valley Laurier,3382,,,,,,,,,"(53.510583477055974, -113.55332311271663)",23,,48,60,30,0,,2.298204558,5.08779409,7.290668803,9.022065918,4.857895797,0,0,0,0,0,
Girard Industrial,6260,,,,,,,,,"(53.51116985458425, -113.43772379583726)",163,,46,46,36,0,"1,450.00",6.035279485,6.128634845,7.652383002,5.478024559,5.835019794,0,0,0,0,0,
Canon Ridge,2120,11,1192,1180,1194,1230,1317,1404,35,"(53.5787889552352, -113.3792165041167)",98,0.08,26,44,48,1201,1695,11.5280508,9.197581751,8.193290143,4.866134698,9.265053959,0,4,0,0,0,
Overlanders,2590,11,1192,1180,1194,1230,1317,1404,35,"(53.58101065034532, -113.38817648181885)",137,0.05,25,44,19,2507,1479,11.16993104,8.754780476,7.647385391,4.459893873,8.841218011,0,17,0,0,0,
River Valley Gold Bar,6620,11,1192,1180,1194,1230,1317,1404,,"(53.55227007401804, -113.43756822098467)",29,0.03,54,50,62,1044,1828,6.697866964,4.670319465,4.611731689,1.029372944,4.645282835,0,0,0,0,0,
River Valley Rundle,2650,11,1192,1180,1194,1230,1317,1404,,"(53.555592464509914, -113.3869387232612)",42,0.06,41,38,49,751,1339,9.905973591,8.046012054,7.734774614,3.924984828,8.01349932,0,0,0,0,0,
River Valley Hermitage,2630,11,1192,1180,1194,1230,1317,1404,,"(53.591428272471504, -113.40850196592923)",12,0.01,34,39,38,2345,1950,10.86652082,8.197815029,6.681144951,4.262655481,8.353384534,0,0,0,0,0,
Lorelei,3280,11,1192,1180,1194,1230,1317,1404,27,"(53.62459274077493, -113.50446576585736)",149,0.03,44,51,35,4278,1658,11.34182475,8.6092938,6.25542724,8.159692866,8.966280447,0,2,0,0,0,
River Valley Mayfair,5370,,,,,,,,,"(53.52956527496194, -113.54417943380135)",10,,,,,0,,1.362222777,3.127884389,5.160853387,7.364785853,2.985130729,0,0,0,0,0,
Pembina,3340,12,1279,1249,1240,1254,1320,1449,27,"(53.603167658034536, -113.54284506988225)",224,0.13,30,43,18,1684,1781,8.931879806,6.64764135,4.732821566,8.02086584,7.012683463,0,2,0,0,0,
River Valley Walterdale,5390,,,,,,,,,"(53.53057521791498, -113.51975395559765)",80,,,,,0,,0.8977973875,2.026210854,4.378550781,5.912824219,1.74471325,0,0,0,0,0,
River Valley Capitol Hill,3380,,,,,,,,,"(53.53188605950759, -113.55988567347316)",16,,38,52,28,0,,2.412904356,3.870088554,5.605160367,8.199171398,3.803105544,0,0,0,0,0,
Northmount,2580,12,1279,1249,1240,1254,1320,1449,2,"(53.60320534682862, -113.47962880470851)",328,0.10,50,54,31,3443,1509,9.392789914,6.494981018,4.138175683,5.292370651,6.817556363,0,7,0,0,0,
Kildare,2400,12,1279,1249,1240,1254,1320,1449,2,"(53.60329283639778, -113.45515009551443)",420,0.13,60,47,34,3129,1385,10.05304065,7.136413143,4.955753315,4.841250694,7.413578852,0,4,0,0,0,
Hudson,3480,12,1279,1249,1240,1254,1320,1449,27,"(53.604587411333966, -113.5533957565913)",83,0.06,23,41,24,1470,1529,9.199162167,7.066888642,5.286382151,8.680642899,7.426783736,0,2,0,0,0,
Baranow,3020,12,1279,1249,1240,1254,1320,1449,27,"(53.60514463104835, -113.53587266453894)",1300,0.78,31,45,21,1670,1662,9.106561201,6.710425988,4.673831954,7.794629575,7.077949731,0,2,2,243,1,
Place LaRue,4400,,,,,,,,,"(53.539007705161794, -113.63332341710671)",474,,27,52,27,0,,7.30187873,8.38972654,9.319219596,12.65898063,8.441267521,0,0,0,0,0,
Griesbach,3111,12,1279,1249,1240,1254,1320,1449,27,"(53.60680836887645, -113.5042291461543)",370,0.12,31,57,24,3055,1615,9.384532528,6.631143216,4.276688414,6.480363899,6.987431524,433,55,0,0,0,
Kilkenny,2410,12,1279,1249,1240,1254,1320,1449,2,"(53.610377929359544, -113.45511917442329)",222,0.04,41,45,41,5804,1457,10.75654675,7.835668063,5.595958105,5.623838052,8.123774894,0,3,0,0,0,
River Valley Glenora,3381,,,,,,,,,"(53.5426113680614, -113.54902509017589)",14,,44,57,29,0,,2.604128701,2.799139513,4.254098244,7.123438922,2.83851593,0,0,0,0,0,
River Valley Riverside,6630,,,,,,,,,"(53.54845932796029, -113.46339725819846)",20,,54,50,62,0,,5.010839019,2.928106895,3.370863743,1.754154172,2.884399561,0,0,0,0,0,
Evansdale,2260,12,1279,1249,1240,1254,1320,1449,2,"(53.61084111037154, -113.47956893162089)",255,0.05,41,54,29,5479,1545,10.20017431,7.314657995,4.943646354,6.070849135,7.642471921,0,7,2,328,0,
Beaumaris,3040,12,1279,1249,1240,1254,1320,1449,27,"(53.61842233825658, -113.50500707158315)",226,0.05,37,55,25,4338,1395,10.65625266,7.921911809,5.57032224,7.58191692,8.279152997,1,5,0,0,0,
Poundmaker Industrial,4410,,,,,,,,,"(53.552287292768845, -113.64587519214425)",3,,30,52,28,0,,8.548765017,9.186996354,9.723117938,13.29689992,9.298772498,0,0,0,0,0,
Youngstown Industrial,4660,,,,,,,,40,"(53.5524757447572, -113.61058845726237)",114,,30,47,27,0,"1,239.00",6.449860998,6.855696908,7.432514611,10.96289446,6.977861475,0,11,0,0,0,
Wilson Industrial,4640,,,,,,,,,"(53.55407736657594, -113.63352130894815)",30,,6,25,15,0,"1,250.00",7.879138942,8.385332702,8.881714258,12.46742133,8.507983884,0,0,0,0,0,
McNamara Industrial,4300,,,,,,,,40,"(53.55407815098212, -113.62127738552252)",87,,34,50,21,0,"2,888.00",7.155522484,7.577500238,8.084885257,11.65729527,7.70420559,0,0,0,0,0,
River Valley Kinnaird,1190,,,,,,,,,"(53.55424923268959, -113.4695235484404)",68,,64,62,61,0,,5.086735108,2.636190128,2.649719012,1.712407851,2.68792091,0,0,0,0,0,
Dunluce,3180,12,1279,1249,1240,1254,1320,1449,27,"(53.621472988694656, -113.53018332452554)",195,0.03,22,45,30,6490,1735,10.90484762,8.394875684,6.199979333,8.825136182,8.762534867,0,7,0,0,0,
Winterburn Industrial Area East,4650,,,,,,,,59,"(53.556944783887026, -113.67530826794228)",105,,6,24,10,0,"2,167.00",10.5547433,11.17231033,11.57636607,15.22192508,11.29536966,0,0,0,0,0,
Eaux Claires,2241,12,1279,1249,1240,1254,1320,1449,28,"(53.6216388347344, -113.48563719272002)",385,0.12,49,54,36,3242,1400,11.24792335,8.404115628,6.018218595,7.336254728,8.744188457,0,2,0,0,0,
West Sheffield Industrial,4600,,,,,,,,40,"(53.55949273334895, -113.60904431401366)",100,,28,54,28,0,"1,750.00",6.790118215,6.864536279,7.183781879,10.82649588,7.025283314,0,0,0,0,0,
River Valley Highlands,2640,,,,,,,,,"(53.56006960866, -113.43617530896526)",32,,38,38,45,0,,7.229029789,4.939035236,4.437514936,0.6291057764,4.97677,0,0,0,0,0,
Sheffield Industrial,4490,,,,,,,,40,"(53.56081597064499, -113.59659572026173)",44,,23,36,20,0,"1,908.00",6.239797636,6.092794651,6.346493471,10.00143545,6.270778022,0,0,0,0,0,
Carlton,3470,12,1279,1249,1240,1254,1320,1449,27,"(53.62165163543048, -113.55937325047627)",85,0.03,6,31,30,2593,1690,11.13907432,8.963333694,7.050447371,10.17470892,9.326588668,0,3,0,0,0,
Ozerna,2600,12,1279,1249,1240,1254,1320,1449,28,"(53.622275154794266, -113.44902424999296)",64,0.01,25,38,39,4366,1640,12.12530195,9.204136585,6.934304454,6.916604508,9.497217912,0,1,0,0,0,
Mayliewan,2511,12,1279,1249,1240,1254,1320,1449,28,"(53.622290298766785, -113.46026446170166)",78,0.02,28,38,38,4530,1615,11.83169841,8.917970918,6.59324885,6.981942924,9.226894477,0,0,0,0,0,
Belle Rive,2050,12,1279,1249,1240,1254,1320,1449,28,"(53.62230017573994, -113.47359649235716)",71,0.02,35,42,28,3826,1485,11.53534044,8.6487562,6.278853969,7.158811999,8.975150458,0,0,0,0,0,
Huff Bremner Estate Industrial,3230,,,,,,,,40,"(53.564620946423375, -113.57189649619323)",301,,30,47,27,0,"1,678.00",5.482099931,4.683104473,4.672286353,8.378822383,4.915534031,0,0,0,0,0,
White Industrial,4630,,,,,,,,,"(53.564714562357935, -113.64861763741831)",64,,8,25,12,0,"1,175.00",9.313817704,9.55001248,9.745041883,13.45730151,9.710349804,0,0,0,0,0,
Baturyn,3030,12,1279,1249,1240,1254,1320,1449,27,"(53.63097982527694, -113.50433944798633)",185,0.04,30,40,32,5028,1375,12.04821757,9.320167185,6.96579887,8.787141264,9.677198785,0,1,0,0,0,
Schonsee,2700,12,1279,1249,1240,1254,1320,1449,28,"(53.63236248729287, -113.45514587942287)",83,0.07,24,34,44,1124,1665,12.99881234,10.08679242,7.755147405,8.060198582,10.39695797,21,4,0,0,0,
Albany,3460,12,1279,1249,1240,1254,1320,1449,27,"(53.6323821398393, -113.5494643322466)",198,0.11,24,43,27,1800,1857,12.21262046,9.872489954,7.791182251,10.57523554,10.23997547,257,111,0,0,0,
Alberta Park Industrial,4010,,,,,,,,40,"(53.566734885629394, -113.59647151301722)",43,,30,47,27,0,,6.690156473,6.28027839,6.284027343,10.01898536,6.489477635,0,0,0,0,0,
Norwester Industrial,4350,,,,,,,,,"(53.56673770420897, -113.60888372767698)",43,,25,42,30,0,,7.286334392,7.058103119,7.106050025,10.83940936,7.254368499,0,0,0,0,0,
Hawin Park Estate Industrial,4190,,,,,,,,,"(53.57485072697918, -113.59657383692269)",22,,36,50,29,0,,7.370335674,6.651822046,6.328124403,10.13084017,6.896874608,0,0,0,0,0,
Rapperswill,3370,12,1279,1249,1240,1254,1320,1449,27,"(53.635410932289524, -113.53502943713653)",63,0.02,24,42,26,3000,,12.46646632,9.978545981,7.776959816,10.2539513,10.34626461,1,1,0,0,0,
Pintail Landing,4478,,,,,,,,,"(53.57841364003393, -113.67651866190087)",0,,14,30,16,,,11.68035862,11.72211103,11.63641246,15.42836224,11.91212912,0,0,0,0,0,
Yellowhead Corridor East,1270,,,,,,,,8,"(53.579205367028734, -113.45196418798517)",172,,59,64,59,0,"1,421.00",7.918087398,5.118084391,3.504650417,2.160129697,5.316926278,0,0,0,0,0,
Lago Lindo,2450,12,1279,1249,1240,1254,1320,1449,28,"(53.636039092648886, -113.48464731674068)",81,0.02,38,39,30,3601,1550,12.82357333,9.996327743,7.610479806,8.830443407,10.33909305,2,1,0,0,0,
Gagnon Estate Industrial,4150,,,,,,,,40,"(53.580184173448046, -113.58579493914254)",67,,34,50,28,0,"1,375.00",7.437143118,6.349993019,5.724928349,9.547053265,6.629399061,0,0,0,0,0,
Hagmann Estate Industrial,3220,,,,,,,,4,"(53.58217611123088, -113.54495102363569)",63,,35,49,34,0,"1,960.00",6.64396644,4.609786478,3.250838288,7.018825596,4.958292797,0,0,0,0,0,
Brown Industrial,3050,,,,,,,,4,"(53.58239893635303, -113.5680073695957)",25,,31,50,28,0,,7.111666183,5.599413469,4.662130646,8.47416887,5.912712012,0,0,0,0,0,
Yellowhead Corridor West,1280,,,,,,,,8,"(53.58284074809834, -113.51272950704035)",99,,59,64,59,0,"1,421.00",6.663313159,3.974989208,1.765133399,5.109618364,4.339720021,0,0,0,0,0,
Canossa,3080,12,1279,1249,1240,1254,1320,1449,27,"(53.636192230399715, -113.5226863308244)",57,0.02,14,39,20,3080,1992,12.5423725,9.948682087,7.670958865,9.879547108,10.31390533,0,2,0,0,0,
Klarvatten,2440,12,1279,1249,1240,1254,1320,1449,28,"(53.63722398137361, -113.47666510945415)",100,0.02,26,36,31,4612,1797,13.07524717,10.21913667,7.835285713,8.818903016,10.55500121,11,4,0,0,0,
Crystallina Nera West,2463,12,1279,1249,1240,1254,1320,1449,28,"(53.64031050897715, -113.45919996932167)",120,0.04,32,40,35,3000,1767,13.73753826,10.83932697,8.481417801,8.965206208,11.15899923,22,24,0,0,0,
Elsinore,3190,12,1279,1249,1240,1254,1320,1449,27,"(53.640763391998256, -113.4994021462004)",57,0.04,9,33,15,1516,1505,13.17003742,10.42056427,8.053835228,9.650321409,10.77485487,25,0,0,0,0,
Clover Bar Area,2160,,,,,,,,43,"(53.59151239150917, -113.33335678332813)",61,,56,52,29,0,"1,800.00",14.85873526,12.54599079,11.44036896,8.217141835,12.61601192,0,0,0,0,0,
Anthony Henday Big Lake,4018,,,,,,,,40,"(53.59221135864012, -113.64788090682242)",25,,30,47,27,0,,11.1059818,10.55895552,10.04007297,13.86141112,10.80579496,0,0,0,0,0,
Chambery,3120,12,1279,1249,1240,1254,1320,1449,27,"(53.64076376483925, -113.51176139221641)",61,0.04,7,29,23,1509,1594,13.08443832,10.41048984,8.08017016,9.980990242,10.77141757,0,2,0,0,0,
McArthur Industrial,3290,,,,,,,,,"(53.59432400129637, -113.5642624352912)",69,,36,50,31,0,"1,351.00",8.271652803,6.447093349,5.050279239,8.727275032,6.788375162,0,0,1,50,0,
Mistatim Industrial,4320,,,,,,,,40,"(53.59683656416475, -113.59977067013727)",151,,30,47,27,0,,9.501265058,8.233332252,7.226715511,10.9930978,8.538007667,0,0,0,0,0,
Oxford,3320,12,1279,1249,1240,1254,1320,1449,27,"(53.62219780043192, -113.54729168143149)",70,0.02,28,38,31,2983,2120,11.07004549,8.746256089,6.70520517,9.641212648,9.113249924,1,2,0,0,0,
Anthony Henday Mistatim,4015,,,,,,,,40,"(53.60847815252636, -113.61195468482153)",1,,30,47,27,0,,11.02725956,9.709170886,8.557144884,12.25549853,10.0220501,0,0,0,0,0,
Carlisle,3090,12,1279,1249,1240,1254,1320,1449,27,"(53.60352021881101, -113.52591462611406)",153,0.04,24,46,22,3549,1412,8.903778783,6.378957259,4.224496557,7.178749112,6.746803061,0,4,0,0,0,
Cumberland,3150,12,1279,1249,1240,1254,1320,1449,27,"(53.61056256755815, -113.55318813558542)",140,0.02,17,34,30,6106,1600,9.849748249,7.66711398,5.800633605,9.06470746,8.02965722,0,1,0,0,0,
Anthony Henday Clareview,4022,,,,,,,,,"(53.617885711275214, -113.35795929304325)",7,,28,50,26,0,,15.32012114,12.6456206,10.99356821,8.660694908,12.80810676,0,0,0,0,0,
Caernarvon,3060,12,1279,1249,1240,1254,1320,1449,27,"(53.6118997513244, -113.52640171562766)",208,0.05,25,46,30,4024,1440,9.836362602,7.302027129,5.109642027,7.857706089,7.669550405,0,1,0,0,0,
Anthony Henday Rampart,4023,,,,,,,,,"(53.62749699081316, -113.5763739596066)",23,,29,49,26,0,,12.03794642,10.02668277,8.228442147,11.44820291,10.38423199,0,0,0,0,0,
Anthony Henday Horse Hill,4021,,,,,,,,,"(53.6332051339252, -113.38747022429976)",4,,27,53,24,0,,15.28422232,12.43778084,10.4476529,8.996431365,12.66409271,0,0,0,0,0,
Anthony Henday Energy Park,4019,,,,,,,,,"(53.639587651047016, -113.40722276233143)",17,,27,53,24,0,,15.13581577,12.23521816,10.0913808,9.198989887,12.49426336,0,0,0,0,0,
Goodridge Corners,3490,12,1279,1249,1240,1254,1320,1449,,"(53.642394533593645, -113.55874073268737)",140,0.08,27,44,26,1700,1237,13.40349208,11.11795051,9.059381596,11.82358601,11.48482103,0,0,0,0,0,
Anthony Henday Lake District,4017,,,,,,,,,"(53.646909392951784, -113.46737130828637)",15,,30,47,27,0,,14.27695837,11.40490167,9.026556774,9.76109069,11.73543118,0,0,0,0,0,
